date,rspn,so2,no2,noap
01-01-1959,1606.4,1608.3,47.5,37
01-04-1959,1637,1622.2,47.5,37
01-07-1959,1629.5,1636.2,48.7,38
01-10-1959,1643.4,1650.3,48.8,38
01-01-1960,1671.6,1664.6,49.1,38
01-04-1960,1666.8,1679,49.6,38
01-07-1960,1668.4,1693.5,50,38
01-10-1960,1654.1,1708.2,50.2,38
01-01-1961,1671.3,1722.9,50.1,38
01-04-1961,1692.1,1737.8,49.8,38
01-07-1961,1716.3,1752.8,49.8,38
01-10-1961,1754.9,1768,49.5,39
01-01-1962,1777.9,1783.3,50,39
01-04-1962,1796.4,1798.7,50.4,39
01-07-1962,1813.1,1814.3,50.1,39
01-10-1962,1810.1,1829.9,50.1,40
01-01-1963,1834.6,1845.8,50.4,40
01-04-1963,1860,1861.7,49.9,39
01-07-1963,1892.5,1877.8,49.9,39
01-10-1963,1906.1,1894,50.4,39
01-01-1964,1948.7,1910.4,50.1,40
01-04-1964,1965.4,1926.9,50.3,40
01-07-1964,1985.2,1943.6,50.6,40
01-10-1964,1993.7,1960.4,50.9,40
01-01-1965,2036.9,1977.4,50.8,40
01-04-1965,2066.4,1994.4,50.8,40
01-07-1965,2099.3,2012.4,51,40
01-10-1965,2147.6,2030.5,50.9,40
01-01-1966,2190.1,2048.7,51.6,40
01-04-1966,2195.8,2067.2,52.6,41
01-07-1966,2218.3,2085.8,53.1,41
01-10-1966,2229.2,2104.5,53.7,41
01-01-1967,2241.8,2123.4,54.3,41
01-04-1967,2255.2,2142.5,54.2,42
01-07-1967,2287.7,2161.8,54.4,42
01-10-1967,2300.6,2181.2,54.8,42
01-01-1968,2327.3,2200.9,56.1,43
01-04-1968,2366.9,2220.7,56.4,43
01-07-1968,2385.3,2240.6,57.2,44
01-10-1968,2383,2260.8,58.4,44
01-01-1969,2416.5,2281.1,59.3,45
01-04-1969,2419.8,2301.6,60.4,45
01-07-1969,2433.2,2322.3,61.7,46
01-10-1969,2423.5,2343.2,62.9,45
01-01-1970,2408.6,2364.3,64.6,47
01-04-1970,2406.5,2385.5,64.9,47
01-07-1970,2435.8,2407,65.1,48
01-10-1970,2413.8,2428.6,66.1,48
01-01-1971,2478.6,2450.5,66.1,49
01-04-1971,2478.4,2472.5,67.1,49
01-07-1971,2491.1,2494.8,67.7,50
01-10-1971,2491,2517.2,68.5,50
01-01-1972,2545.6,2539.8,69.1,51
01-04-1972,2595.1,2562.7,69.3,51
01-07-1972,2622.1,2585.7,69.9,51
01-10-1972,2671.3,2609,70.1,52
01-01-1973,2734,2632.4,71,52
01-04-1973,2741,2656.1,73.1,53
01-07-1973,2738.3,2680,74.7,53
01-10-1973,2762.8,2704.1,76.4,54
01-01-1974,2747.4,2723.7,78.4,55
01-04-1974,2755.2,2743.4,81.5,56
01-07-1974,2719.3,2763.3,84.4,58
01-10-1974,2695.4,2783.3,86.7,59
01-01-1975,2642.7,2803.5,88.6,60
01-04-1975,2669.6,2823.8,88.4,61
01-07-1975,2714.9,2844.2,88.7,62
01-10-1975,2752.7,2864.9,90.8,63
01-01-1976,2804.4,2885.6,91.9,64
01-04-1976,2816.9,2906.5,93.1,65
01-07-1976,2828.6,2927.6,95,66
01-10-1976,2856.8,2948.8,97,67
01-01-1977,2896,2970.1,97.9,68
01-04-1977,2942.7,2991.7,99.2,69
01-07-1977,3001.8,3013.3,99.8,70
01-10-1977,2994.1,3035.2,102.9,71
01-01-1978,3020.5,3057.2,105.3,72
01-04-1978,3115.9,3079.3,106.1,73
01-07-1978,3142.6,3101.6,108.4,75
01-10-1978,3181.6,3124.1,110.8,76
01-01-1979,3181.7,3146.7,114.6,77
01-04-1979,3178.7,3169.5,118.2,78
01-07-1979,3207.4,3192.5,121.4,80
01-10-1979,3201.3,3215.6,124.9,82
01-01-1980,3233.4,3238.9,127.6,84
01-04-1980,3157,3258.4,132.3,85
01-07-1980,3159.1,3278,134.7,87
01-10-1980,3199.2,3297.7,137.1,89
01-01-1981,3261.1,3317.6,139.3,91
01-04-1981,3250.2,3337.5,142.3,93
01-07-1981,3264.6,3357.6,145.2,95
01-10-1981,3219,3377.8,149.4,97
01-01-1982,3170.4,3398.2,153.1,98
01-04-1982,3179.9,3418.6,154.9,99
01-07-1982,3154.5,3439.2,157.7,101
01-10-1982,3159.3,3459.9,158.7,102
01-01-1983,3186.6,3480.7,158.6,104
01-04-1983,3258.3,3501.7,156.7,105
01-07-1983,3306.4,3522.7,157.1,106
01-10-1983,3365.1,3543.9,158.2,107
01-01-1984,3451.7,3565.3,159.1,108
01-04-1984,3498,3586.7,159.4,109
01-07-1984,3520.6,3608.3,161.2,110
01-10-1984,3535.2,3630,162.3,111
01-01-1985,3577.5,3651.9,163.4,113
01-04-1985,3599.2,3673.8,163.9,114
01-07-1985,3635.8,3695.9,165.1,115
01-10-1985,3662.4,3718.2,167.1,116
01-01-1986,3721.1,3740.6,166.4,117
01-04-1986,3704.6,3763.1,168.5,118
01-07-1986,3712.4,3785.7,171.2,120
01-10-1986,3733.6,3808.5,173.2,121
01-01-1987,3783,3831.4,173.6,123
01-04-1987,3823.5,3854.5,173.4,125
01-07-1987,3872.8,3877.7,173.9,126
01-10-1987,3935.6,3901,175.8,128
01-01-1988,3974.8,3924.5,175.7,129
01-04-1988,4010.7,3948.1,178.7,130
01-07-1988,4042.7,3971.9,179.6,132
01-10-1988,4069.4,3995.8,181.3,133
01-01-1989,4106.8,4019.9,184.1,135
01-04-1989,4132.5,4044.1,186.1,135
01-07-1989,4162.9,4068.4,187.4,137
